,Dataset,Number of rows,Number of features,Our agent 1% 4 iters,Our agent 5% 4 iters,Our agent 50% 4 iters,Our agent 1% 1 iter,Our agent 5% 1 iter,Our agent 50% 1 iter,Random agent,LAP 1 iter,LAP 4 iters,LAP 10 iters,Pruning
0,2dplanes,11,40768,-0.003842694791922188,-0.001502330144714246,-0.0012672716866977036,-0.001568759708936306,-0.0028615812280271178,-0.003178399149701578,-0.0028615812280271178,-0.013669160330308234,-0.030031272994849128,-0.3479529474286649,-0.012596635143851198
1,ailerons,41,13750,0.0,0.0,-0.030378787878787852,0.0,-0.026212121212121204,-0.02683333333333332,-0.025712121212121204,-0.021863636363636408,-0.03984848484848485,-0.3433030303030303,-0.008609427609427601
2,airlines,8,26969,0.0,0.0,-0.09689778766530714,0.0,0.0,-0.0943100358422939,-0.10057471264367816,-0.031902731429983934,-0.0720630947966877,-0.18787078235076013,-0.03151049176725856
3,Amazon_employee_access,10,32769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036936730749669404,0.0
4,bank-marketing,17,45211,-0.016131261749419437,-0.010767997346013474,-0.020213609053042873,-0.001663349183530537,0.0,-0.018412031405507012,-0.01608979321021786,-0.050563972133141656,-0.04117825942718124,-0.3168565004239006,-0.006372332190644699
5,cardiotocography,27,2800,0.00416666666666668,-0.0006696428571428455,-0.0128720238095238,0.00952380952380955,0.006622023809523828,-0.0023809523809523816,-0.0005952380952380931,-0.002529761904761898,-0.008556547619047622,-0.16302083333333336,0.0029761904761904747
6,CreditCardSubset,31,14240,7.315074906366625e-05,0.00013167134831459926,0.00013167134831459926,4.389044943819975e-05,0.00016093164794006576,0.00016093164794006576,-4.389044943819975e-05,-2.92602996254665e-05,-4.389044943819975e-05,-0.0416812968164794,-9.753433208488834e-06
7,diabetes,9,768,-0.043831168831168825,-0.04058441558441558,-0.050865800865800864,-0.039772727272727265,-0.04437229437229437,0.0,-0.05221861471861472,-0.044913419913419905,-0.08982683982683985,-0.18506493506493513,-0.01917989417989418
8,diggle_table_a2,9,310,0.0,-0.008064516129032273,0.04569892473118279,0.016801075268817214,0.03091397849462366,0.04368279569892473,0.047043010752688165,-0.06922043010752689,-0.11693548387096775,-0.3776881720430108,-0.020833333333333332
9,disclosure_z,4,662,0.0,-0.052005012531328325,-0.04949874686716793,-0.06265664160401002,-0.06610275689223057,-0.06296992481203008,-0.030388471177944857,-0.02286967418546364,-0.031015037593984968,-0.05075187969924813,-0.01611668059036481
10,electricity-normalized,9,45312,-0.009907499356357355,-0.005379013571665027,-0.009392585236676599,0.0,0.000427562617234913,0.0,-0.004914671374452904,-0.05408896980396483,-0.10160358968700578,-0.262601603589687,-0.01180573434518045
11,first-order-theorem-proving,52,6118,0.0,-0.0018041938997821378,-0.056781045751633986,0.0,-0.0235566448801743,-0.02505446623093684,-0.03941993464052287,-0.02280773420479303,-0.07247412854030501,-0.20271650326797386,-0.010507443718228034
12,fried,11,40768,0.004420121004006225,-0.0003781375194178797,0.004552980132450289,0.002846251328591287,0.003858024691358,0.002156405853977611,0.006571416891505186,-0.0793628893794457,-0.09750838034502492,-0.4155680238737634,-0.007521302882475319
