,Dataset,Number of rows,Number of features,Our agent 1% 4 iters,Our agent 5% 4 iters,Our agent 50% 4 iters,Our agent 1% 1 iter,Our agent 5% 1 iter,Our agent 50% 1 iter,Random agent,LAP 1 iter,LAP 4 iters,LAP 10 iters,Pruning
0,2dplanes,11,40768,2.8013359616183755,3.321603400238851,2.7252083451686744,1.1998598184391733,1.8637294942684817,1.1998598184391733,10.826148794089377,1.9853469223535012,6.5476150761445,77.72199887397191,2.7540064103214266
1,ailerons,41,13750,1.0,1.0,24.858633402014835,1.0,1.1911701632429588,2.2565507695151585,9.385319962279665,1.9908010566071919,7.17667584918669,107.64016809033107,2.886063607244753
2,airlines,8,26969,1.0,1.0,2.797077637989806,1.0,1.0,1.1583745562200132,6.32950748667369,1.9921853202870585,7.671260672589682,182.09781336447952,2.968484184285723
3,Amazon_employee_access,10,32769,5.8229228139718,8.437952556071739,8.925628895338765,1.0,1.0362839896002372,1.1936096193730508,11.132322671737247,1.985071701876158,6.85670305154522,98.02947912045552,2.8080845882650682
4,bank-marketing,17,45211,8.167486217423017,24.929046574387296,5.543577634341335,1.017378990731205,1.0,1.816403137693207,8.121133447480238,1.9888724509489026,7.2734966174990445,114.25727521604465,2.898443571568844
5,cardiotocography,27,2800,5.048706690671686,2.647177987770782,35.13774096531345,1.8215375805119474,1.2123314269203964,1.078739194794486,8.178048913877433,2.019276844800307,6.700046343300209,96.55635191021025,2.846296246741515
6,CreditCardSubset,31,14240,27.909584630116115,28.21546231372838,28.21546231372838,1.2131495583154017,1.5052868799147792,1.5052868799147792,10.457155993424132,1.988166589564738,7.3114159329209185,105.94703986207269,2.902125652963119
7,diabetes,9,768,2.8712553893640265,2.8779236114780624,34.20962684936258,1.222381971441154,1.9135381890088603,1.0,13.065814148156315,1.9944031967941223,7.218047512196937,186.5325050216271,2.8873464317239628
8,diggle_table_a2,9,310,1.0,1.6915934500120333,33.63992462345165,1.4530653567232672,2.4785449060632523,2.4785449060632523,10.537406309174967,1.9949352659076005,6.921389351891101,178.32788909585318,2.831494990639944
9,disclosure_z,4,662,1.0,2.896126705455005,35.73904849873461,1.9547064430968202,1.9585027287932792,1.9558711591690272,13.167624293206822,1.9930896066565404,7.091821434914546,180.6788440685201,2.8471374866596055
10,electricity-normalized,9,45312,2.959525136230044,8.55100023806422,7.714335644739289,1.0,1.0095501818647072,1.0,11.790165264989078,1.9920003074463815,6.458348696965911,101.91852371229369,2.742631397741297
11,first-order-theorem-proving,52,6118,1.0,1.008599086039998,11.12329852864986,1.0,1.2161168844219532,1.1969395720787521,8.746671225496051,2.0085351212591713,7.023341939178984,92.6375029628095,2.896596117084727
12,fried,11,40768,3.972802096618734,30.82235195682965,12.525669064401379,1.8322289637793052,2.3914574396757655,1.2169354604427596,11.636622564642161,1.9830188124367278,6.405182348643618,76.32954637514565,2.724093543293644
13,house_8L,9,22784,2.7875516739821045,30.963542950618603,29.68711498140819,1.0,1.2103698769041067,1.2103698769041067,9.738599243929244,1.9869251822029332,6.847584571741891,94.00137223789187,2.8083251789884267
14,jungle_chess_2pcs_raw_endgame_complete,7,44819,1.020146675176713,1.040625442451159,9.70811756041056,1.0,1.0,1.221268979091069,13.70393480860627,1.9982369752604245,7.121310453486501,114.34006305263172,2.8706522450970002
15,kr-vs-k,7,28056,76.5104953895967,84.01099730586087,89.25094615011282,1.0,1.0,2.4446555991045353,9.458336566690665,2.2406213670467565,6.108605852508709,96.97532312141799,2.8610871367508377
16,kropt,7,28056,1.012095433896761,1.0,22.09606488602715,2.4865670607393375,1.4871530037155216,1.0,7.185996571959311,2.0874338932605436,6.584349245793056,101.70743529048588,2.9070586901421405
17,meta_stream_intervals,75,45164,8.422309244668416,6.992945802883605,17.814208397102693,1.0,1.0026668341644347,1.4490593663795115,7.91226440008209,2.0259292007967047,6.958614971449705,101.54876312360985,2.9222287555543556
18,mfeat-karhunen,65,2000,1.0,8.29456441382298,25.648231427023536,1.2116159506653197,1.2116159506653197,1.2116159506653197,7.712909117630072,2.019967617204673,7.192226740453421,152.14093512582932,2.9484038057047774
19,mfeat-morphological,7,2000,2.809898732563275,33.37243436149086,33.37243436149086,1.2024198141965374,2.483003217942065,2.483003217942065,10.812381343550783,1.9942060722924693,6.644957080528909,151.458307888357,2.772163153426209
20,no2,8,500,1.0,1.0,33.8362960431098,1.926195968614575,1.926195968614575,1.2119958051111857,13.499198007333085,1.9923124835986739,6.963977841092993,143.28438262135998,2.8348290389073205
21,nomao,119,34465,2.785718878182467,2.6632575597206642,2.605182267569569,1.0,1.0047853525020232,1.18930406423969,8.174113793142832,1.9909796501213044,7.483064501247118,121.38034972319456,2.936880340392201
22,nursery,9,12960,71.18286416682686,87.19263489644668,8.20725159042651,1.1891913880676042,1.0140692139205492,1.4621832660138396,10.546794197401104,2.0190791973615467,6.752546640297919,89.75200498737246,2.8611688856883553
23,phoneme,6,5404,1.0,1.0,34.7341101127144,1.0626740889289878,1.2080374505664662,1.0,10.667564260744319,1.9895455779677118,6.566994460882008,91.89851988673246,2.751422163544108
24,pm10,8,500,1.0010813938464478,9.04731942731226,13.845522428087357,1.0009501970475074,2.5176761800631753,1.2116610951038012,9.545895540892067,1.9921637211596313,6.981900800356958,176.3768599848936,2.8378668107238525
25,rmftsa_sleepdata,3,1024,1.0277161862527715,2.890997642600769,20.17624170339465,1.0,2.0745734135613367,1.0,11.652323003208755,1.9935529915076373,7.043137045461829,179.39953174500613,2.834013970035637
26,satimage,37,6430,2.760066097275835,1.027559613236115,26.57257482007758,1.0331552214339672,1.3911927719760515,1.2031520110014788,9.592358266639463,2.0085167321150443,6.952373219147872,92.417453843616,2.8801032018224855
27,tamilnadu-electricity,4,45781,1.0,999.0,1.0418656610845287,1.8580279499371901,1.8611850407334387,1.0,999.0,2.2755718783483747,5.882066742699127,82.83420432656648,2.851740953370076
