,4_iterations_1_acc,4_iterations_5_acc,4_iterations_50_acc,1_iteration_1_acc,1_iteration_5_acc,1_iteration_50_acc,random_action,LAP_1,LAP_3,LAP_10,pruning
0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,11.0
1,8.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,9.0
2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,9.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
4,3.0,5.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0
5,5.0,0.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,0.0,5.0
6,9.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,9.0
7,3.0,1.0,0.0,0.0,0.0,6.0,1.0,4.0,2.0,0.0,7.0
8,0.0,1.0,7.0,2.0,2.0,4.0,5.0,2.0,1.0,0.0,0.0
9,6.0,2.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,6.0
10,3.0,2.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0
11,8.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,7.0
12,3.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0
13,5.0,4.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0
14,8.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0
15,2.0,3.0,0.0,2.0,0.0,3.0,7.0,2.0,0.0,0.0,5.0
16,4.0,0.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0
17,1.0,2.0,9.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0
18,1.0,3.0,3.0,4.0,0.0,1.0,6.0,1.0,1.0,0.0,4.0
19,13.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0
20,7.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,7.0
21,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
22,7.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,6.0
23,2.0,1.0,1.0,7.0,1.0,2.0,0.0,2.0,0.0,0.0,8.0
24,10.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,5.0
25,2.0,3.0,2.0,0.0,5.0,0.0,4.0,1.0,3.0,0.0,4.0
26,4.0,2.0,0.0,0.0,1.0,1.0,6.0,4.0,0.0,0.0,6.0
27,7.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,5.0
