,4_iterations_1_acc,4_iterations_5_acc,4_iterations_50_acc,1_iteration_1_acc,1_iteration_5_acc,1_iteration_50_acc,random_action,LAP_1,LAP_3,LAP_10,pruning
0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,7.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,7.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
5,7.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0
6,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
7,4.0,1.0,6.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0
8,0.0,2.0,8.0,2.0,4.0,1.0,4.0,2.0,1.0,0.0,0.0
9,0.0,3.0,3.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0
10,3.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,0.0,0.0,2.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,5.0
12,4.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
13,5.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
15,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
16,0.0,0.0,12.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0
17,3.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,0.0,4.0,4.0,5.0,0.0,0.0,4.0,2.0,1.0,0.0,3.0
19,14.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0
20,0.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,5.0
21,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
22,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
23,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0
24,0.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,4.0
25,0.0,6.0,7.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0
26,7.0,2.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0
27,0.0,0.0,0.0,7.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0
